Date,WTI Expiration Calendar,WTI F_1,WTI F_2,WTI_F4,"Event (1= roll, 2=expiration, 0=regular day)",Dates in between roll and expiry,Transaction Costs,dF(t)=F(t)-F(t-1),Spot Equity Line, Rolling Futures ,Futures Equity Line
5/5/22,, $108.26 , $106.74 ,102.84,0,0, $-   , $0.45 , $108.26 , $0.45 , $55.27 
5/6/22,, $109.77 , $108.33 ,104.45,0,0, $-   , $1.51 , $109.77 , $1.51 , $56.78 
5/9/22,, $103.09 , $101.77 ,98.35,0,0, $-   , $(6.68), $103.09 , $(6.68), $50.10 
5/10/22,, $99.76 , $98.45 ,95.26,0,0, $-   , $(3.33), $99.76 , $(3.33), $46.77 
5/11/22,, $105.71 , $104.03 ,100.34,0,0, $-   , $5.95 , $105.71 , $5.95 , $52.72 
5/12/22,, $106.13 , $104.40 ,100.42,0,0, $-   , $0.42 , $106.13 , $0.42 , $53.14 
5/13/22,, $110.49 , $108.63 ,103.86,1,1, $0.02 , $4.36 , $110.49 , $4.36 , $57.48 
5/16/22,, $114.20 , $111.82 ,105.93,0,2, $-   , $3.71 , $114.20 , $3.19 , $60.67 
5/17/22,, $112.40 , $109.63 ,103.86,0,3, $-   , $(1.80), $112.40 , $(2.19), $58.48 
5/18/22,, $109.59 , $107.04 ,101.08,0,4, $-   , $(2.81), $109.59 , $(2.59), $55.89 
5/19/22,, $112.21 , $109.89 ,103.67,0,5, $-   , $2.62 , $112.21 , $2.85 , $58.74 
5/20/22,, $113.23 , $110.28 ,103.94,2,0, $-   , $1.02 , $113.23 , $0.39 , $59.13 
5/23/22,, $110.29 , $107.54 ,101.94,0,0, $-   , $(2.94), $110.29 , $0.01 , $59.14 
5/24/22,, $109.77 , $107.20 ,101.93,0,0, $-   , $(0.52), $109.77 , $(0.52), $58.62 
5/25/22,, $110.33 , $107.75 ,102.54,0,0, $-   , $0.56 , $110.33 , $0.56 , $59.18 
5/26/22,, $114.09 , $111.25 ,105.57,0,0, $-   , $3.76 , $114.09 , $3.76 , $62.94 
5/27/22,, $115.07 , $112.23 ,106.48,0,0, $-   , $0.98 , $115.07 , $0.98 , $63.92 
5/31/22,, $114.67 , $111.91 ,106.05,0,0, $-   , $(0.40), $114.67 , $(0.40), $63.52 
6/1/22,, $115.26 , $112.72 ,107.32,0,0, $-   , $0.59 , $115.26 , $0.59 , $64.11 
6/2/22,, $116.87 , $114.30 ,108.85,0,0, $-   , $1.61 , $116.87 , $1.61 , $65.72 
6/3/22,, $118.87 , $116.23 ,110.7,0,0, $-   , $2.00 , $118.87 , $2.00 , $67.72 
6/6/22,, $118.50 , $116.06 ,110.67,0,0, $-   , $(0.37), $118.50 , $(0.37), $67.35 
6/7/22,, $119.41 , $117.10 ,112.04,0,0, $-   , $0.91 , $119.41 , $0.91 , $68.26 
6/8/22,, $122.11 , $119.78 ,114.57,0,0, $-   , $2.70 , $122.11 , $2.70 , $70.96 
6/9/22,, $121.51 , $119.09 ,114.01,0,0, $-   , $(0.60), $121.51 , $(0.60), $70.36 
6/10/22,, $120.67 , $118.12 ,112.73,0,0, $-   , $(0.84), $120.67 , $(0.84), $69.52 
6/13/22,, $120.93 , $118.25 ,112.62,1,1, $0.02 , $0.26 , $120.93 , $0.26 , $69.76 
6/14/22,, $118.93 , $116.26 ,110.86,0,2, $-   , $(2.00), $118.93 , $(1.99), $67.77 
6/15/22,, $115.31 , $113.09 ,108.42,0,3, $-   , $(3.62), $115.31 , $(3.17), $64.60 
6/16/22,, $117.59 , $115.25 ,110.25,0,4, $-   , $2.28 , $117.59 , $2.16 , $66.76 
6/17/22,, $109.56 , $107.99 ,103.57,0,5, $-   , $(8.03), $109.56 , $(7.26), $59.50 
6/21/22,, $110.65 , $109.52 ,105.06,2,0, $-   , $1.09 , $110.65 , $1.53 , $61.03 
6/22/22,, $106.19 , $103.99 ,99.9,0,0, $-   , $(4.46), $106.19 , $(3.33), $57.70 
6/23/22,, $104.27 , $101.58 ,96.88,0,0, $-   , $(1.92), $104.27 , $(1.92), $55.78 
6/24/22,, $107.62 , $104.45 ,98.97,0,0, $-   , $3.35 , $107.62 , $3.35 , $59.13 
6/27/22,, $109.57 , $106.38 ,100.68,0,0, $-   , $1.95 , $109.57 , $1.95 , $61.08 
6/28/22,, $111.76 , $108.89 ,103.43,0,0, $-   , $2.19 , $111.76 , $2.19 , $63.27 
6/29/22,, $109.78 , $107.01 ,101.56,0,0, $-   , $(1.98), $109.78 , $(1.98), $61.29 
6/30/22,, $105.76 , $103.10 ,97.75,0,0, $-   , $(4.02), $105.76 , $(4.02), $57.27 
7/1/22,, $108.43 , $105.39 ,99.62,0,0, $-   , $2.67 , $108.43 , $2.67 , $59.94 
7/5/22,, $99.50 , $96.52 ,90.73,0,0, $-   , $(8.93), $99.50 , $(8.93), $51.01 
7/6/22,, $98.53 , $94.98 ,89.24,0,0, $-   , $(0.97), $98.53 , $(0.97), $50.04 
7/7/22,, $102.73 , $99.25 ,93.24,0,0, $-   , $4.20 , $102.73 , $4.20 , $54.24 
7/8/22,, $104.79 , $101.53 ,95.59,0,0, $-   , $2.06 , $104.79 , $2.06 , $56.30 
7/11/22,, $104.09 , $101.21 ,95.58,0,0, $-   , $(0.70), $104.09 , $(0.70), $55.60 
7/12/22,, $95.84 , $93.31 ,88.48,0,0, $-   , $(8.25), $95.84 , $(8.25), $47.35 
7/13/22,, $96.30 , $93.83 ,89.27,1,1, $0.02 , $0.46 , $96.30 , $0.46 , $47.79 
7/14/22,, $95.78 , $92.83 ,87.96,0,2, $-   , $(0.52), $95.78 , $(1.00), $46.79 
7/15/22,, $97.59 , $94.57 ,89.37,0,3, $-   , $1.81 , $97.59 , $1.74 , $48.53 
7/18/22,, $102.60 , $99.42 ,93.79,0,4, $-   , $5.01 , $102.60 , $4.85 , $53.38 
7/19/22,, $104.22 , $100.74 ,94.71,0,5, $-   , $1.62 , $104.22 , $1.32 , $54.70 
7/20/22,, $102.26 , $99.88 ,94.45,2,0, $-   , $(1.96), $102.26 , $(0.86), $53.84 
7/21/22,, $96.35 , $93.78 ,89.95,0,0, $-   , $(5.91), $96.35 , $(3.53), $50.31 
7/22/22,, $94.70 , $92.43 ,88.93,0,0, $-   , $(1.65), $94.70 , $(1.65), $48.66 
7/25/22,, $96.70 , $94.42 ,90.89,0,0, $-   , $2.00 , $96.70 , $2.00 , $50.66 
7/26/22,, $94.98 , $92.88 ,89.84,0,0, $-   , $(1.72), $94.98 , $(1.72), $48.94 
7/27/22,, $97.26 , $95.29 ,92.34,0,0, $-   , $2.28 , $97.26 , $2.28 , $51.22 
7/28/22,, $96.42 , $94.65 ,91.91,0,0, $-   , $(0.84), $96.42 , $(0.84), $50.38 
7/29/22,, $98.62 , $96.75 ,93.87,0,0, $-   , $2.20 , $98.62 , $2.20 , $52.58 
8/1/22,, $93.89 , $92.39 ,90.29,0,0, $-   , $(4.73), $93.89 , $(4.73), $47.85 
8/2/22,, $94.42 , $93.22 ,91.33,0,0, $-   , $0.53 , $94.42 , $0.53 , $48.38 
8/3/22,, $90.66 , $89.74 ,88.32,0,0, $-   , $(3.76), $90.66 , $(3.76), $44.62 
8/4/22,, $88.54 , $87.56 ,85.99,0,0, $-   , $(2.12), $88.54 , $(2.12), $42.50 
8/5/22,, $89.01 , $88.08 ,86.39,0,0, $-   , $0.47 , $89.01 , $0.47 , $42.97 
8/8/22,, $90.76 , $89.93 ,88.36,0,0, $-   , $1.75 , $90.76 , $1.75 , $44.72 
8/9/22,, $90.50 , $89.67 ,88.08,0,0, $-   , $(0.26), $90.50 , $(0.26), $44.46 
8/10/22,, $91.93 , $91.20 ,89.68,0,0, $-   , $1.43 , $91.93 , $1.43 , $45.89 
8/11/22,, $94.34 , $93.53 ,91.79,0,0, $-   , $2.41 , $94.34 , $2.41 , $48.30 
8/12/22,, $92.09 , $91.46 ,90.16,0,0, $-   , $(2.25), $92.09 , $(2.25), $46.05 
8/15/22,, $89.41 , $88.85 ,87.9,1,1, $0.02 , $(2.68), $89.41 , $(2.68), $43.35 
8/16/22,, $86.53 , $86.16 ,85.48,0,2, $-   , $(2.88), $86.53 , $(2.69), $40.66 
8/17/22,, $88.11 , $87.69 ,86.84,0,3, $-   , $1.58 , $88.11 , $1.53 , $42.19 
8/18/22,, $90.50 , $90.11 ,89.08,0,4, $-   , $2.39 , $90.50 , $2.42 , $44.61 
8/19/22,, $90.77 , $90.44 ,89.61,0,5, $-   , $0.27 , $90.77 , $0.33 , $44.94 
8/22/22,, $90.23 , $90.36 ,89.45,2,0, $-   , $(0.54), $90.23 , $(0.08), $44.86 
8/23/22,, $93.74 , $93.25 ,91.68,0,0, $-   , $3.51 , $93.74 , $3.38 , $48.24 
8/24/22,, $94.89 , $94.40 ,92.72,0,0, $-   , $1.15 , $94.89 , $1.15 , $49.39 
8/25/22,, $92.52 , $92.19 ,90.71,0,0, $-   , $(2.37), $92.52 , $(2.37), $47.02 
8/26/22,, $93.06 , $92.39 ,90.5,0,0, $-   , $0.54 , $93.06 , $0.54 , $47.56 
8/29/22,, $97.01 , $96.19 ,93.73,0,0, $-   , $3.95 , $97.01 , $3.95 , $51.51 
8/30/22,, $91.64 , $91.17 ,89.53,0,0, $-   , $(5.37), $91.64 , $(5.37), $46.14 
8/31/22,, $89.55 , $89.03 ,87.52,0,0, $-   , $(2.09), $89.55 , $(2.09), $44.05 
9/1/22,, $86.61 , $86.22 ,84.99,0,0, $-   , $(2.94), $86.61 , $(2.94), $41.11 
9/2/22,, $86.87 , $86.48 ,85.19,0,0, $-   , $0.26 , $86.87 , $0.26 , $41.37 
9/6/22,, $86.88 , $86.51 ,85.43,0,0, $-   , $0.01 , $86.88 , $0.01 , $41.38 
9/7/22,, $81.94 , $81.63 ,80.75,0,0, $-   , $(4.94), $81.94 , $(4.94), $36.44 
9/8/22,, $83.54 , $83.07 ,81.8,0,0, $-   , $1.60 , $83.54 , $1.60 , $38.04 
9/9/22,, $86.79 , $86.36 ,85.05,0,0, $-   , $3.25 , $86.79 , $3.25 , $41.29 
9/12/22,, $87.78 , $87.41 ,86.21,0,0, $-   , $0.99 , $87.78 , $0.99 , $42.28 
9/13/22,, $87.31 , $86.89 ,85.5,1,1, $0.02 , $(0.47), $87.31 , $(0.47), $41.79 
9/14/22,, $88.48 , $88.05 ,86.5,0,2, $-   , $1.17 , $88.48 , $1.16 , $42.95 
9/15/22,, $85.10 , $84.65 ,82.96,0,3, $-   , $(3.38), $85.10 , $(3.40), $39.55 
9/16/22,, $85.11 , $84.76 ,83.16,0,4, $-   , $0.01 , $85.11 , $0.11 , $39.66 
9/19/22,, $85.73 , $85.36 ,83.68,0,5, $-   , $0.62 , $85.73 , $0.60 , $40.26 
9/20/22,, $84.45 , $83.94 ,82.37,2,0, $-   , $(1.28), $84.45 , $(1.42), $38.84 
9/21/22,, $82.94 , $82.43 ,80.68,0,0, $-   , $(1.51), $82.94 , $(1.00), $37.84 
9/22/22,, $83.49 , $83.03 ,81.33,0,0, $-   , $0.55 , $83.49 , $0.55 , $38.39 
9/23/22,, $78.74 , $78.25 ,76.73,0,0, $-   , $(4.75), $78.74 , $(4.75), $33.64 
